BenefitRankingUIActivityLog,,,,,,
Plan Number,Element Path,Field,Row,Description,Updated By,Updated Date
H2228102000,Benefit Ranking,Benefit Acquisition Ranking,35695,Benefit Acquisition Ranking changed from 0 to 7,cwils58,6/29/2022 21:00
H2228102000,Benefit Ranking,Benefit Acquisition Ranking,35694,Benefit Acquisition Ranking changed from 0 to 1,cwils58,6/29/2022 21:00
H2228102000,Benefit Ranking,Benefit Acquisition Ranking,35693,Benefit Acquisition Ranking changed from 0 to 13,cwils58,6/29/2022 21:00
H4544002000,Benefit Ranking,Benefit Acquisition Ranking,37648,Benefit Acquisition Ranking changed from 0 to 4,lpoff,6/29/2022 20:56
H4544002000,Benefit Ranking,Benefit Acquisition Ranking,37647,Benefit Acquisition Ranking changed from 0 to 2,lpoff,6/29/2022 20:56
H4544002000,Benefit Ranking,Benefit Acquisition Ranking,37646,Benefit Acquisition Ranking changed from 0 to 6,lpoff,6/29/2022 20:56
H4544002000,Benefit Ranking,Benefit Acquisition Ranking,37645,Benefit Acquisition Ranking changed from 0 to 15,lpoff,6/29/2022 20:56
H4544002000,Benefit Ranking,Benefit Acquisition Ranking,37644,Benefit Acquisition Ranking changed from 0 to 8,lpoff,6/29/2022 20:56
H4544002000,Benefit Ranking,Benefit Acquisition Ranking,37643,Benefit Acquisition Ranking changed from 0 to 1,lpoff,6/29/2022 20:56
H4544002000,Benefit Ranking,Benefit Acquisition Ranking,37642,Benefit Acquisition Ranking changed from 0 to 13,lpoff,6/29/2022 20:56
H4544002000,Benefit Ranking,Benefit Acquisition Ranking,37641,Benefit Acquisition Ranking changed from 0 to 3,lpoff,6/29/2022 20:56
H4544002000,Benefit Ranking,Benefit Acquisition Ranking,37639,Benefit Acquisition Ranking changed from 0 to 14,lpoff,6/29/2022 20:56
H4544002000,Benefit Ranking,Benefit Acquisition Ranking,37638,Benefit Acquisition Ranking changed from 0 to 11,lpoff,6/29/2022 20:56
H4544002000,Benefit Ranking,Benefit Acquisition Ranking,37637,Benefit Acquisition Ranking changed from 0 to 7,lpoff,6/29/2022 20:56
H4544002000,Benefit Ranking,Benefit Acquisition Ranking,37636,Benefit Acquisition Ranking changed from 0 to 9,lpoff,6/29/2022 20:56
H4544002000,Benefit Ranking,Benefit Acquisition Ranking,37635,Benefit Acquisition Ranking changed from 0 to 10,lpoff,6/29/2022 20:56
H4544002000,Benefit Ranking,Benefit Acquisition Ranking,37634,Benefit Acquisition Ranking changed from 0 to 5,lpoff,6/29/2022 20:56
H4544002000,Benefit Ranking,Benefit Acquisition Ranking,37632,Benefit Acquisition Ranking changed from 0 to 12,lpoff,6/29/2022 20:56
H2228099000,Benefit Ranking,Benefit Acquisition Ranking,35652,Benefit Acquisition Ranking changed from 0 to 5,cwils58,6/29/2022 20:54
H2228099000,Benefit Ranking,Benefit Acquisition Ranking,35651,Benefit Acquisition Ranking changed from 0 to 2,cwils58,6/29/2022 20:54
H2228099000,Benefit Ranking,Benefit Acquisition Ranking,35649,Benefit Acquisition Ranking changed from 0 to 8,cwils58,6/29/2022 20:54
H2228099000,Benefit Ranking,Benefit Acquisition Ranking,35647,Benefit Acquisition Ranking changed from 0 to 4,cwils58,6/29/2022 20:54
H2228099000,Benefit Ranking,Benefit Acquisition Ranking,35646,Benefit Acquisition Ranking changed from 0 to 9,cwils58,6/29/2022 20:54
H2228099000,Benefit Ranking,Benefit Acquisition Ranking,35644,Benefit Acquisition Ranking changed from 0 to 15,cwils58,6/29/2022 20:54
H2228099000,Benefit Ranking,Benefit Acquisition Ranking,35643,Benefit Acquisition Ranking changed from 0 to 3,cwils58,6/29/2022 20:54
H2228099000,Benefit Ranking,Benefit Acquisition Ranking,35640,Benefit Acquisition Ranking changed from 0 to 13,cwils58,6/29/2022 20:54
H2228099000,Benefit Ranking,Benefit Acquisition Ranking,35639,Benefit Acquisition Ranking changed from 0 to 10,cwils58,6/29/2022 20:54
H2228099000,Benefit Ranking,Benefit Acquisition Ranking,35638,Benefit Acquisition Ranking changed from 0 to 11,cwils58,6/29/2022 20:54
H2228099000,Benefit Ranking,Benefit Acquisition Ranking,35634,Benefit Acquisition Ranking changed from 0 to 12,cwils58,6/29/2022 20:54
H2228099000,Benefit Ranking,Benefit Acquisition Ranking,35633,Benefit Acquisition Ranking changed from 0 to 6,cwils58,6/29/2022 20:54
H2228099000,Benefit Ranking,Benefit Acquisition Ranking,35631,Benefit Acquisition Ranking changed from 0 to 7,cwils58,6/29/2022 20:54
H2228099000,Benefit Ranking,Benefit Acquisition Ranking,35630,Benefit Acquisition Ranking changed from 0 to 1,cwils58,6/29/2022 20:54
H2228099000,Benefit Ranking,Benefit Acquisition Ranking,35629,Benefit Acquisition Ranking changed from 0 to 14,cwils58,6/29/2022 20:54
H8768022000,Benefit Ranking,Benefit Acquisition Ranking,35789,Benefit Acquisition Ranking changed from 0 to 5,acrayto2,6/29/2022 20:54
H8768022000,Benefit Ranking,Benefit Acquisition Ranking,35788,Benefit Acquisition Ranking changed from 0 to 2,acrayto2,6/29/2022 20:54
H8768022000,Benefit Ranking,Benefit Acquisition Ranking,35786,Benefit Acquisition Ranking changed from 0 to 8,acrayto2,6/29/2022 20:54
H8768022000,Benefit Ranking,Benefit Acquisition Ranking,35784,Benefit Acquisition Ranking changed from 0 to 4,acrayto2,6/29/2022 20:54
H8768022000,Benefit Ranking,Benefit Acquisition Ranking,35783,Benefit Acquisition Ranking changed from 0 to 9,acrayto2,6/29/2022 20:54
H8768022000,Benefit Ranking,Benefit Acquisition Ranking,35780,Benefit Acquisition Ranking changed from 0 to 3,acrayto2,6/29/2022 20:54
H8768022000,Benefit Ranking,Benefit Acquisition Ranking,35779,Benefit Acquisition Ranking changed from 0 to 12,acrayto2,6/29/2022 20:54
H8768022000,Benefit Ranking,Benefit Acquisition Ranking,35776,Benefit Acquisition Ranking changed from 0 to 14,acrayto2,6/29/2022 20:54
H8768022000,Benefit Ranking,Benefit Acquisition Ranking,35775,Benefit Acquisition Ranking changed from 0 to 10,acrayto2,6/29/2022 20:54
H8768022000,Benefit Ranking,Benefit Acquisition Ranking,35774,Benefit Acquisition Ranking changed from 0 to 11,acrayto2,6/29/2022 20:54
H8768022000,Benefit Ranking,Benefit Acquisition Ranking,35771,Benefit Acquisition Ranking changed from 0 to 13,acrayto2,6/29/2022 20:54
H8768022000,Benefit Ranking,Benefit Acquisition Ranking,35770,Benefit Acquisition Ranking changed from 0 to 6,acrayto2,6/29/2022 20:54
H8768022000,Benefit Ranking,Benefit Acquisition Ranking,35768,Benefit Acquisition Ranking changed from 0 to 7,acrayto2,6/29/2022 20:54
H8768022000,Benefit Ranking,Benefit Acquisition Ranking,35767,Benefit Acquisition Ranking changed from 0 to 1,acrayto2,6/29/2022 20:54
H8768022000,Benefit Ranking,Benefit Acquisition Ranking,35766,Benefit Acquisition Ranking changed from 0 to 15,acrayto2,6/29/2022 20:54
H4544001000,Benefit Ranking,Benefit Acquisition Ranking,37631,Benefit Acquisition Ranking changed from 0 to 5,lpoff,6/29/2022 20:50
H4544001000,Benefit Ranking,Benefit Acquisition Ranking,37630,Benefit Acquisition Ranking changed from 0 to 2,lpoff,6/29/2022 20:50
H4544001000,Benefit Ranking,Benefit Acquisition Ranking,37629,Benefit Acquisition Ranking changed from 0 to 7,lpoff,6/29/2022 20:50
H4544001000,Benefit Ranking,Benefit Acquisition Ranking,37627,Benefit Acquisition Ranking changed from 0 to 10,lpoff,6/29/2022 20:50
H4544001000,Benefit Ranking,Benefit Acquisition Ranking,37626,Benefit Acquisition Ranking changed from 0 to 4,lpoff,6/29/2022 20:50
H4544001000,Benefit Ranking,Benefit Acquisition Ranking,37625,Benefit Acquisition Ranking changed from 0 to 8,lpoff,6/29/2022 20:50
H4544001000,Benefit Ranking,Benefit Acquisition Ranking,37623,Benefit Acquisition Ranking changed from 0 to 15,lpoff,6/29/2022 20:50
H4544001000,Benefit Ranking,Benefit Acquisition Ranking,37622,Benefit Acquisition Ranking changed from 0 to 3,lpoff,6/29/2022 20:50
H4544001000,Benefit Ranking,Benefit Acquisition Ranking,37619,Benefit Acquisition Ranking changed from 0 to 13,lpoff,6/29/2022 20:50
H4544001000,Benefit Ranking,Benefit Acquisition Ranking,37618,Benefit Acquisition Ranking changed from 0 to 9,lpoff,6/29/2022 20:50
H4544001000,Benefit Ranking,Benefit Acquisition Ranking,37617,Benefit Acquisition Ranking changed from 0 to 11,lpoff,6/29/2022 20:50
H4544001000,Benefit Ranking,Benefit Acquisition Ranking,37614,Benefit Acquisition Ranking changed from 0 to 12,lpoff,6/29/2022 20:50
H4544001000,Benefit Ranking,Benefit Acquisition Ranking,37613,Benefit Acquisition Ranking changed from 0 to 6,lpoff,6/29/2022 20:50
H4544001000,Benefit Ranking,Benefit Acquisition Ranking,37611,Benefit Acquisition Ranking changed from 0 to 1,lpoff,6/29/2022 20:50
H4544001000,Benefit Ranking,Benefit Acquisition Ranking,37610,Benefit Acquisition Ranking changed from 0 to 14,lpoff,6/29/2022 20:50
H7464011000,Benefit Ranking,Benefit Acquisition Ranking,36133,Benefit Acquisition Ranking changed from 0 to 5,acrayto2,6/29/2022 20:50
H7464011000,Benefit Ranking,Benefit Acquisition Ranking,36132,Benefit Acquisition Ranking changed from 0 to 10,acrayto2,6/29/2022 20:50
H7464011000,Benefit Ranking,Benefit Acquisition Ranking,36131,Benefit Acquisition Ranking changed from 0 to 4,acrayto2,6/29/2022 20:50
H7464011000,Benefit Ranking,Benefit Acquisition Ranking,36130,Benefit Acquisition Ranking changed from 0 to 3,acrayto2,6/29/2022 20:50
H7464011000,Benefit Ranking,Benefit Acquisition Ranking,36129,Benefit Acquisition Ranking changed from 0 to 8,acrayto2,6/29/2022 20:50
H7464011000,Benefit Ranking,Benefit Acquisition Ranking,36128,Benefit Acquisition Ranking changed from 0 to 13,acrayto2,6/29/2022 20:50
H7464011000,Benefit Ranking,Benefit Acquisition Ranking,36126,Benefit Acquisition Ranking changed from 0 to 1,acrayto2,6/29/2022 20:50
H7464011000,Benefit Ranking,Benefit Acquisition Ranking,36125,Benefit Acquisition Ranking changed from 0 to 14,acrayto2,6/29/2022 20:50
H7464011000,Benefit Ranking,Benefit Acquisition Ranking,36124,Benefit Acquisition Ranking changed from 0 to 12,acrayto2,6/29/2022 20:50
H7464011000,Benefit Ranking,Benefit Acquisition Ranking,36122,Benefit Acquisition Ranking changed from 0 to 7,acrayto2,6/29/2022 20:50
H7464011000,Benefit Ranking,Benefit Acquisition Ranking,36121,Benefit Acquisition Ranking changed from 0 to 2,acrayto2,6/29/2022 20:50
H7464011000,Benefit Ranking,Benefit Acquisition Ranking,36120,Benefit Acquisition Ranking changed from 0 to 15,acrayto2,6/29/2022 20:50
H7464011000,Benefit Ranking,Benefit Acquisition Ranking,36118,Benefit Acquisition Ranking changed from 0 to 6,acrayto2,6/29/2022 20:50
H7464011000,Benefit Ranking,Benefit Acquisition Ranking,36117,Benefit Acquisition Ranking changed from 0 to 9,acrayto2,6/29/2022 20:50
H7464011000,Benefit Ranking,Benefit Acquisition Ranking,36116,Benefit Acquisition Ranking changed from 0 to 11,acrayto2,6/29/2022 20:50
H0710026000,Benefit Ranking,Benefit Acquisition Ranking,34012,Benefit Acquisition Ranking changed from 0 to 4,lpoff,6/29/2022 20:48
H0710026000,Benefit Ranking,Benefit Acquisition Ranking,34011,Benefit Acquisition Ranking changed from 0 to 2,lpoff,6/29/2022 20:48
H0710026000,Benefit Ranking,Benefit Acquisition Ranking,34010,Benefit Acquisition Ranking changed from 0 to 1,lpoff,6/29/2022 20:48
H0710026000,Benefit Ranking,Benefit Acquisition Ranking,34009,Benefit Acquisition Ranking changed from 0 to 9,lpoff,6/29/2022 20:48
H0710026000,Benefit Ranking,Benefit Acquisition Ranking,34008,Benefit Acquisition Ranking changed from 0 to 11,lpoff,6/29/2022 20:48
H0710026000,Benefit Ranking,Benefit Acquisition Ranking,34007,Benefit Acquisition Ranking changed from 0 to 15,lpoff,6/29/2022 20:48
H0710026000,Benefit Ranking,Benefit Acquisition Ranking,34006,Benefit Acquisition Ranking changed from 0 to 3,lpoff,6/29/2022 20:48
H0710026000,Benefit Ranking,Benefit Acquisition Ranking,34004,Benefit Acquisition Ranking changed from 0 to 14,lpoff,6/29/2022 20:48
H0710026000,Benefit Ranking,Benefit Acquisition Ranking,34002,Benefit Acquisition Ranking changed from 0 to 10,lpoff,6/29/2022 20:48
H0710026000,Benefit Ranking,Benefit Acquisition Ranking,34000,Benefit Acquisition Ranking changed from 0 to 13,lpoff,6/29/2022 20:48
H0710026000,Benefit Ranking,Benefit Acquisition Ranking,33998,Benefit Acquisition Ranking changed from 0 to 7,lpoff,6/29/2022 20:48
H0710026000,Benefit Ranking,Benefit Acquisition Ranking,33996,Benefit Acquisition Ranking changed from 0 to 12,lpoff,6/29/2022 20:48
H0710026000,Benefit Ranking,Benefit Acquisition Ranking,33994,Benefit Acquisition Ranking changed from 0 to 5,lpoff,6/29/2022 20:48
H0710026000,Benefit Ranking,Benefit Acquisition Ranking,33992,Benefit Acquisition Ranking changed from 0 to 6,lpoff,6/29/2022 20:48
H0710026000,Benefit Ranking,Benefit Acquisition Ranking,33990,Benefit Acquisition Ranking changed from 0 to 8,lpoff,6/29/2022 20:48
H0432013000,Benefit Ranking,Benefit Acquisition Ranking,33488,Benefit Acquisition Ranking changed from 0 to 5,bpouti,6/29/2022 20:48
H0432013000,Benefit Ranking,Benefit Acquisition Ranking,33486,Benefit Acquisition Ranking changed from 0 to 4,bpouti,6/29/2022 20:48
H0432013000,Benefit Ranking,Benefit Acquisition Ranking,33485,Benefit Acquisition Ranking changed from 0 to 3,bpouti,6/29/2022 20:48
H0432013000,Benefit Ranking,Benefit Acquisition Ranking,33484,Benefit Acquisition Ranking changed from 0 to 10,bpouti,6/29/2022 20:48
H0432013000,Benefit Ranking,Benefit Acquisition Ranking,33483,Benefit Acquisition Ranking changed from 0 to 15,bpouti,6/29/2022 20:48
H0432013000,Benefit Ranking,Benefit Acquisition Ranking,33482,Benefit Acquisition Ranking changed from 0 to 9,bpouti,6/29/2022 20:48
H0432013000,Benefit Ranking,Benefit Acquisition Ranking,33480,Benefit Acquisition Ranking changed from 0 to 1,bpouti,6/29/2022 20:48
H0432013000,Benefit Ranking,Benefit Acquisition Ranking,33478,Benefit Acquisition Ranking changed from 0 to 14,bpouti,6/29/2022 20:48
H0432013000,Benefit Ranking,Benefit Acquisition Ranking,33476,Benefit Acquisition Ranking changed from 0 to 8,bpouti,6/29/2022 20:48
H0432013000,Benefit Ranking,Benefit Acquisition Ranking,33475,Benefit Acquisition Ranking changed from 0 to 2,bpouti,6/29/2022 20:48
H0432013000,Benefit Ranking,Benefit Acquisition Ranking,33473,Benefit Acquisition Ranking changed from 0 to 13,bpouti,6/29/2022 20:48
H0432013000,Benefit Ranking,Benefit Acquisition Ranking,33471,Benefit Acquisition Ranking changed from 0 to 6,bpouti,6/29/2022 20:48
H0432013000,Benefit Ranking,Benefit Acquisition Ranking,33470,Benefit Acquisition Ranking changed from 0 to 11,bpouti,6/29/2022 20:48
H0432013000,Benefit Ranking,Benefit Acquisition Ranking,33469,Benefit Acquisition Ranking changed from 0 to 7,bpouti,6/29/2022 20:48
H0432013000,Benefit Ranking,Benefit Acquisition Ranking,33468,Benefit Acquisition Ranking changed from 0 to 12,bpouti,6/29/2022 20:48
H7464010000,Benefit Ranking,Benefit Acquisition Ranking,36186,Benefit Acquisition Ranking changed from 0 to 7,cwils58,6/29/2022 20:48
H7464010000,Benefit Ranking,Benefit Acquisition Ranking,36185,Benefit Acquisition Ranking changed from 0 to 5,cwils58,6/29/2022 20:48
H7464010000,Benefit Ranking,Benefit Acquisition Ranking,36184,Benefit Acquisition Ranking changed from 0 to 10,cwils58,6/29/2022 20:48
H7464010000,Benefit Ranking,Benefit Acquisition Ranking,36183,Benefit Acquisition Ranking changed from 0 to 4,cwils58,6/29/2022 20:48
H7464010000,Benefit Ranking,Benefit Acquisition Ranking,36182,Benefit Acquisition Ranking changed from 0 to 14,cwils58,6/29/2022 20:48
H7464010000,Benefit Ranking,Benefit Acquisition Ranking,36181,Benefit Acquisition Ranking changed from 0 to 1,cwils58,6/29/2022 20:48
H7464010000,Benefit Ranking,Benefit Acquisition Ranking,36179,Benefit Acquisition Ranking changed from 0 to 11,cwils58,6/29/2022 20:48
H7464010000,Benefit Ranking,Benefit Acquisition Ranking,36177,Benefit Acquisition Ranking changed from 0 to 9,cwils58,6/29/2022 20:48
H7464010000,Benefit Ranking,Benefit Acquisition Ranking,36175,Benefit Acquisition Ranking changed from 0 to 3,cwils58,6/29/2022 20:48
H7464010000,Benefit Ranking,Benefit Acquisition Ranking,36173,Benefit Acquisition Ranking changed from 0 to 2,cwils58,6/29/2022 20:48
H7464010000,Benefit Ranking,Benefit Acquisition Ranking,36171,Benefit Acquisition Ranking changed from 0 to 13,cwils58,6/29/2022 20:48
H7464010000,Benefit Ranking,Benefit Acquisition Ranking,36169,Benefit Acquisition Ranking changed from 0 to 12,cwils58,6/29/2022 20:48
H7464010000,Benefit Ranking,Benefit Acquisition Ranking,36167,Benefit Acquisition Ranking changed from 0 to 6,cwils58,6/29/2022 20:48
H7464010000,Benefit Ranking,Benefit Acquisition Ranking,36165,Benefit Acquisition Ranking changed from 0 to 8,cwils58,6/29/2022 20:48
H2802041000,Benefit Ranking,Benefit Acquisition Ranking,36747,Benefit Acquisition Ranking changed from 0 to 5,acrayto2,6/29/2022 20:44
H2802041000,Benefit Ranking,Benefit Acquisition Ranking,36746,Benefit Acquisition Ranking changed from 0 to 12,acrayto2,6/29/2022 20:44
H2802041000,Benefit Ranking,Benefit Acquisition Ranking,36745,Benefit Acquisition Ranking changed from 0 to 2,acrayto2,6/29/2022 20:44
H2802041000,Benefit Ranking,Benefit Acquisition Ranking,36743,Benefit Acquisition Ranking changed from 0 to 9,acrayto2,6/29/2022 20:44
H2802041000,Benefit Ranking,Benefit Acquisition Ranking,36741,Benefit Acquisition Ranking changed from 0 to 13,acrayto2,6/29/2022 20:44
H2802041000,Benefit Ranking,Benefit Acquisition Ranking,36740,Benefit Acquisition Ranking changed from 0 to 4,acrayto2,6/29/2022 20:44
H2802041000,Benefit Ranking,Benefit Acquisition Ranking,36739,Benefit Acquisition Ranking changed from 0 to 10,acrayto2,6/29/2022 20:44
H2802041000,Benefit Ranking,Benefit Acquisition Ranking,36736,Benefit Acquisition Ranking changed from 0 to 3,acrayto2,6/29/2022 20:44
H2802041000,Benefit Ranking,Benefit Acquisition Ranking,36734,Benefit Acquisition Ranking changed from 0 to 8,acrayto2,6/29/2022 20:44
H2802041000,Benefit Ranking,Benefit Acquisition Ranking,36731,Benefit Acquisition Ranking changed from 0 to 11,acrayto2,6/29/2022 20:44
H2802041000,Benefit Ranking,Benefit Acquisition Ranking,36730,Benefit Acquisition Ranking changed from 0 to 14,acrayto2,6/29/2022 20:44
H2802041000,Benefit Ranking,Benefit Acquisition Ranking,36727,Benefit Acquisition Ranking changed from 0 to 15,acrayto2,6/29/2022 20:44
H2802041000,Benefit Ranking,Benefit Acquisition Ranking,36726,Benefit Acquisition Ranking changed from 0 to 6,acrayto2,6/29/2022 20:44
H2802041000,Benefit Ranking,Benefit Acquisition Ranking,36724,Benefit Acquisition Ranking changed from 0 to 7,acrayto2,6/29/2022 20:44
H2802041000,Benefit Ranking,Benefit Acquisition Ranking,36723,Benefit Acquisition Ranking changed from 0 to 1,acrayto2,6/29/2022 20:44
H8211002000,Benefit Ranking,Benefit Acquisition Ranking,36047,Benefit Acquisition Ranking changed from 0 to 5,cwils58,6/29/2022 20:43
H8211002000,Benefit Ranking,Benefit Acquisition Ranking,36046,Benefit Acquisition Ranking changed from 0 to 11,cwils58,6/29/2022 20:43
H8211002000,Benefit Ranking,Benefit Acquisition Ranking,36045,Benefit Acquisition Ranking changed from 0 to 2,cwils58,6/29/2022 20:43
H8211002000,Benefit Ranking,Benefit Acquisition Ranking,36043,Benefit Acquisition Ranking changed from 0 to 8,cwils58,6/29/2022 20:43
H8211002000,Benefit Ranking,Benefit Acquisition Ranking,36041,Benefit Acquisition Ranking changed from 0 to 12,cwils58,6/29/2022 20:43
H8211002000,Benefit Ranking,Benefit Acquisition Ranking,36040,Benefit Acquisition Ranking changed from 0 to 4,cwils58,6/29/2022 20:43
H8211002000,Benefit Ranking,Benefit Acquisition Ranking,36039,Benefit Acquisition Ranking changed from 0 to 9,cwils58,6/29/2022 20:43
H8211002000,Benefit Ranking,Benefit Acquisition Ranking,36036,Benefit Acquisition Ranking changed from 0 to 3,cwils58,6/29/2022 20:43
H8211002000,Benefit Ranking,Benefit Acquisition Ranking,36033,Benefit Acquisition Ranking changed from 0 to 15,cwils58,6/29/2022 20:43
H8211002000,Benefit Ranking,Benefit Acquisition Ranking,36032,Benefit Acquisition Ranking changed from 0 to 10,cwils58,6/29/2022 20:43
H8211002000,Benefit Ranking,Benefit Acquisition Ranking,36031,Benefit Acquisition Ranking changed from 0 to 13,cwils58,6/29/2022 20:43
H8211002000,Benefit Ranking,Benefit Acquisition Ranking,36027,Benefit Acquisition Ranking changed from 0 to 14,cwils58,6/29/2022 20:43
H8211002000,Benefit Ranking,Benefit Acquisition Ranking,36026,Benefit Acquisition Ranking changed from 0 to 6,cwils58,6/29/2022 20:43
H8211002000,Benefit Ranking,Benefit Acquisition Ranking,36024,Benefit Acquisition Ranking changed from 0 to 7,cwils58,6/29/2022 20:43
H8211002000,Benefit Ranking,Benefit Acquisition Ranking,36023,Benefit Acquisition Ranking changed from 0 to 1,cwils58,6/29/2022 20:43
H0755037000,Benefit Ranking,Benefit Acquisition Ranking,34750,Benefit Acquisition Ranking changed from 0 to 4,cwils58,6/29/2022 20:42
H0755037000,Benefit Ranking,Benefit Acquisition Ranking,34749,Benefit Acquisition Ranking changed from 0 to 2,cwils58,6/29/2022 20:42
H0755037000,Benefit Ranking,Benefit Acquisition Ranking,34747,Benefit Acquisition Ranking changed from 0 to 8,cwils58,6/29/2022 20:42
H0755037000,Benefit Ranking,Benefit Acquisition Ranking,34746,Benefit Acquisition Ranking changed from 0 to 1,cwils58,6/29/2022 20:42
H0755037000,Benefit Ranking,Benefit Acquisition Ranking,34745,Benefit Acquisition Ranking changed from 0 to 14,cwils58,6/29/2022 20:42
H0755037000,Benefit Ranking,Benefit Acquisition Ranking,34744,Benefit Acquisition Ranking changed from 0 to 3,cwils58,6/29/2022 20:42
H0755037000,Benefit Ranking,Benefit Acquisition Ranking,34742,Benefit Acquisition Ranking changed from 0 to 7,cwils58,6/29/2022 20:42
H0755037000,Benefit Ranking,Benefit Acquisition Ranking,34741,Benefit Acquisition Ranking changed from 0 to 15,cwils58,6/29/2022 20:42
H0755037000,Benefit Ranking,Benefit Acquisition Ranking,34740,Benefit Acquisition Ranking changed from 0 to 12,cwils58,6/29/2022 20:42
H0755037000,Benefit Ranking,Benefit Acquisition Ranking,34739,Benefit Acquisition Ranking changed from 0 to 9,cwils58,6/29/2022 20:42
H0755037000,Benefit Ranking,Benefit Acquisition Ranking,34738,Benefit Acquisition Ranking changed from 0 to 10,cwils58,6/29/2022 20:42
H0755037000,Benefit Ranking,Benefit Acquisition Ranking,34737,Benefit Acquisition Ranking changed from 0 to 11,cwils58,6/29/2022 20:42
H0755037000,Benefit Ranking,Benefit Acquisition Ranking,34736,Benefit Acquisition Ranking changed from 0 to 5,cwils58,6/29/2022 20:42
H0755037000,Benefit Ranking,Benefit Acquisition Ranking,34734,Benefit Acquisition Ranking changed from 0 to 6,cwils58,6/29/2022 20:42
H0755037000,Benefit Ranking,Benefit Acquisition Ranking,34733,Benefit Acquisition Ranking changed from 0 to 13,cwils58,6/29/2022 20:42
H2247001000,Benefit Ranking,Benefit Acquisition Ranking,36282,Benefit Acquisition Ranking changed from 0 to 5,bpouti,6/29/2022 20:41
H2247001000,Benefit Ranking,Benefit Acquisition Ranking,36280,Benefit Acquisition Ranking changed from 0 to 4,bpouti,6/29/2022 20:41
H2247001000,Benefit Ranking,Benefit Acquisition Ranking,36279,Benefit Acquisition Ranking changed from 0 to 3,bpouti,6/29/2022 20:41
H2247001000,Benefit Ranking,Benefit Acquisition Ranking,36278,Benefit Acquisition Ranking changed from 0 to 10,bpouti,6/29/2022 20:41
H2247001000,Benefit Ranking,Benefit Acquisition Ranking,36276,Benefit Acquisition Ranking changed from 0 to 9,bpouti,6/29/2022 20:41
H2247001000,Benefit Ranking,Benefit Acquisition Ranking,36274,Benefit Acquisition Ranking changed from 0 to 1,bpouti,6/29/2022 20:41
H2247001000,Benefit Ranking,Benefit Acquisition Ranking,36272,Benefit Acquisition Ranking changed from 0 to 15,bpouti,6/29/2022 20:41
H2247001000,Benefit Ranking,Benefit Acquisition Ranking,36270,Benefit Acquisition Ranking changed from 0 to 8,bpouti,6/29/2022 20:41
H2247001000,Benefit Ranking,Benefit Acquisition Ranking,36269,Benefit Acquisition Ranking changed from 0 to 2,bpouti,6/29/2022 20:41
H2247001000,Benefit Ranking,Benefit Acquisition Ranking,36267,Benefit Acquisition Ranking changed from 0 to 14,bpouti,6/29/2022 20:41
H2247001000,Benefit Ranking,Benefit Acquisition Ranking,36265,Benefit Acquisition Ranking changed from 0 to 6,bpouti,6/29/2022 20:41
H2247001000,Benefit Ranking,Benefit Acquisition Ranking,36264,Benefit Acquisition Ranking changed from 0 to 12,bpouti,6/29/2022 20:41
H2247001000,Benefit Ranking,Benefit Acquisition Ranking,36262,Benefit Acquisition Ranking changed from 0 to 7,bpouti,6/29/2022 20:41
H2247001000,Benefit Ranking,Benefit Acquisition Ranking,36260,Benefit Acquisition Ranking changed from 0 to 11,bpouti,6/29/2022 20:41
H2247001000,Benefit Ranking,Benefit Acquisition Ranking,36258,Benefit Acquisition Ranking changed from 0 to 13,bpouti,6/29/2022 20:41
H2228100000,Benefit Ranking,Benefit Acquisition Ranking,36210,Benefit Acquisition Ranking changed from 0 to 5,bpouti,6/29/2022 20:37
H2228100000,Benefit Ranking,Benefit Acquisition Ranking,36209,Benefit Acquisition Ranking changed from 0 to 2,bpouti,6/29/2022 20:37
H2228100000,Benefit Ranking,Benefit Acquisition Ranking,36207,Benefit Acquisition Ranking changed from 0 to 8,bpouti,6/29/2022 20:37
H2228100000,Benefit Ranking,Benefit Acquisition Ranking,36205,Benefit Acquisition Ranking changed from 0 to 11,bpouti,6/29/2022 20:37
H2228100000,Benefit Ranking,Benefit Acquisition Ranking,35671,Benefit Acquisition Ranking changed from 0 to 4,bpouti,6/29/2022 20:37
H2228100000,Benefit Ranking,Benefit Acquisition Ranking,35670,Benefit Acquisition Ranking changed from 0 to 9,bpouti,6/29/2022 20:37
H2228100000,Benefit Ranking,Benefit Acquisition Ranking,35667,Benefit Acquisition Ranking changed from 0 to 3,bpouti,6/29/2022 20:37
H2228100000,Benefit Ranking,Benefit Acquisition Ranking,35664,Benefit Acquisition Ranking changed from 0 to 14,bpouti,6/29/2022 20:37
H2228100000,Benefit Ranking,Benefit Acquisition Ranking,35663,Benefit Acquisition Ranking changed from 0 to 10,bpouti,6/29/2022 20:37
H2228100000,Benefit Ranking,Benefit Acquisition Ranking,35662,Benefit Acquisition Ranking changed from 0 to 12,bpouti,6/29/2022 20:37
H2228100000,Benefit Ranking,Benefit Acquisition Ranking,35658,Benefit Acquisition Ranking changed from 0 to 13,bpouti,6/29/2022 20:37
H2228100000,Benefit Ranking,Benefit Acquisition Ranking,35657,Benefit Acquisition Ranking changed from 0 to 6,bpouti,6/29/2022 20:37
H2228100000,Benefit Ranking,Benefit Acquisition Ranking,35655,Benefit Acquisition Ranking changed from 0 to 7,bpouti,6/29/2022 20:37
